"season","event_date","nano","market","name","alias","exp_pts","exp_pts_off","exp_pts_off_pass","exp_pts_off_rush","exp_pts_off_turnover","exp_pts_def","exp_pts_def_pass","exp_pts_def_rush","exp_pts_def_turnover","exp_pts_st","exp_pts_kickoff","exp_pts_kick_return","exp_pts_punt","exp_pts_punt_return","exp_pts_fg_xp","boxscore_stats_link"
2024,"2024-09-05","oiGiwWPf0UqMC","Kansas City","Chiefs","KC",7,11.81,13.68,-0.53,-3.99,-9.42,0.14,-9.89,4.93,2.11,-5.64,4.11,0.22,-0.55,3.97,"https://www.pro-football-reference.com/boxscores/202409050kan.htm"
2024,"2024-09-05","zyhFXj1nywrm1","Baltimore","Ravens","BAL",-7,9.42,-0.14,9.89,-4.93,-11.81,-13.68,0.53,3.99,-2.11,-4.11,5.64,0.55,-0.22,-3.97,"https://www.pro-football-reference.com/boxscores/202409050kan.htm"
2024,"2024-09-06","D5QY6bOxfn8ZL","Green Bay","Packers","GB",-5,10.53,4.58,8.27,-3.12,-11.27,-13.95,4.62,8.9,-4.39,-5.04,4.89,0.48,-2.39,-2.33,"https://www.pro-football-reference.com/boxscores/202409060phi.htm"
2024,"2024-09-06","hjjmgzxilGWdr","Philadelphia","Eagles","PHI",5,11.27,13.95,-4.62,-8.9,-10.53,-4.58,-8.27,3.12,4.39,-4.89,5.04,2.39,-0.48,2.33,"https://www.pro-football-reference.com/boxscores/202409060phi.htm"
2024,"2024-09-08","1vVmWGzUZ1rea","Chicago","Bears","CHI",6,-12.59,-9.91,-2,0,15.2,17.84,-2.79,13.51,2.68,-4.17,1.15,0.77,2.64,2.29,"https://www.pro-football-reference.com/boxscores/202409080chi.htm"
2024,"2024-09-08","22ZdibiqvfA2D","Cincinnati","Bengals","CIN",-6,-3.62,-7.91,4.29,-3.1,-0.36,1.95,-2.59,0,-2.22,-2.82,4.09,4.79,-8.42,0.14,"https://www.pro-football-reference.com/boxscores/202409080cin.htm"
2024,"2024-09-08","3VqeLK0LS9rpw","Buffalo","Bills","BUF",7,13.51,12.81,2.43,-5.18,-3.22,0.96,-4.18,4.38,-2.25,-11.91,7.95,0.88,-0.31,1.14,"https://www.pro-football-reference.com/boxscores/202409080buf.htm"
2024,"2024-09-08","4M8AK5p0WXs1N","Seattle","Seahawks","SEA",5,-3.15,0.6,-1.82,-3.69,19.83,18.26,-0.44,9.04,-11.19,-7.84,4.83,1.63,-11.05,1.24,"https://www.pro-football-reference.com/boxscores/202409080sea.htm"
2024,"2024-09-08","6DclFuycdPaOB","Denver","Broncos","DEN",-5,-19.83,-18.26,0.44,-9.04,3.15,-0.6,1.82,3.69,11.19,-4.83,7.84,11.05,-1.63,-1.24,"https://www.pro-football-reference.com/boxscores/202409080sea.htm"
2024,"2024-09-08","9JtBk8kFeaGEs","Washington","Football Team","WAS",-18,9.77,4.73,7.04,0,-22.08,-27.71,4.74,0,-6.66,-5.81,6.79,1.5,-0.3,-8.84,"https://www.pro-football-reference.com/boxscores/202409080tam.htm"
2024,"2024-09-08","AzOs5UWsXusSW","Minnesota","Vikings","MIN",22,8.23,9.85,-1.4,-5.58,21.12,19.35,-0.23,9.92,-7.83,-4.57,3.15,1.85,-6.59,-1.67,"https://www.pro-football-reference.com/boxscores/202409080nyg.htm"
2024,"2024-09-08","CI5mhfNa0Zqd2","New Orleans","Saints","NO",37,19.08,14.23,7.83,0,17.04,13.83,4.41,7.73,-0.61,-7.17,1.87,-0.44,-2.05,7.18,"https://www.pro-football-reference.com/boxscores/202409080nor.htm"
2024,"2024-09-08","FCuH1wdksA2DQ","Detroit","Lions","DET",6,9.52,-2.7,13.57,-3.45,-8.78,-11.88,1.63,4.85,3.9,-4.17,5.64,4.59,-1.51,-0.65,"https://www.pro-football-reference.com/boxscores/202409080det.htm"
2024,"2024-09-08","GJizlkzQFaqGA","Arizona","Cardinals","ARI",-7,3.22,-0.96,4.18,-4.38,-13.51,-12.81,-2.43,5.18,2.25,-7.95,11.91,0.31,-0.88,-1.14,"https://www.pro-football-reference.com/boxscores/202409080buf.htm"
2024,"2024-09-08","IR4gIYmh269EI","Cleveland","Browns","CLE",-16,-19.86,-21.63,2.65,-8.07,5.45,4.76,-0.63,0,-3.02,-3.96,5.8,1.82,-2.01,-4.67,"https://www.pro-football-reference.com/boxscores/202409080cle.htm"
2024,"2024-09-08","KdjU81i7YSFE7","Dallas","Cowboys","DAL",16,-5.45,-4.76,0.63,0,19.86,21.63,-2.65,8.07,3.02,-5.8,3.96,2.01,-1.82,4.67,"https://www.pro-football-reference.com/boxscores/202409080cle.htm"
2024,"2024-09-08","LJmHetie5VbbO","Indianapolis","Colts","IND",-2,7.56,2.72,7.5,-3.18,-16.76,-15.81,-4.88,-2.93,2.53,-4.7,6.37,3.64,2.47,-5.25,"https://www.pro-football-reference.com/boxscores/202409080clt.htm"
2024,"2024-09-08","LZoDld8s63xUs","Las Vegas","Raiders","LV",-11,-14.87,-1.04,-13.83,-15.24,5.13,2.84,-1.87,0,0.65,-3.21,5.84,4.71,-2.13,-4.56,"https://www.pro-football-reference.com/boxscores/202409080sdg.htm"
2024,"2024-09-08","QMAZH1v922YLu","Tampa Bay","Buccaneers","TB",18,22.08,27.71,-4.74,0,-9.77,-4.73,-7.04,0,6.66,-6.79,5.81,0.3,-1.5,8.84,"https://www.pro-football-reference.com/boxscores/202409080tam.htm"
2024,"2024-09-08","RtOjnciWkJPaL","Jacksonville","Jaguars","JAC",-3,-4.76,6.23,-8.58,-4.99,-5.83,-11.41,4.05,0,7.59,-1.83,2.84,6.57,-3.39,3.4,"https://www.pro-football-reference.com/boxscores/202409080mia.htm"
2024,"2024-09-08","SjaMbkmeizJD4","Los Angeles","Chargers","LAC",11,-5.13,-2.84,1.87,0,14.87,1.04,13.83,15.24,-0.65,-5.84,3.21,2.13,-4.71,4.56,"https://www.pro-football-reference.com/boxscores/202409080sdg.htm"
2024,"2024-09-08","SlVgURDFI7EXX","Pittsburgh","Steelers","PIT",8,-6.25,-2.44,-3.13,0,13.7,9.02,5.61,15.55,2.05,-5.51,2.82,0.51,-2.26,6.49,"https://www.pro-football-reference.com/boxscores/202409080atl.htm"
2024,"2024-09-08","UI0Ax4HUEXFh6","Houston","Texans","HOU",2,16.76,15.81,4.88,2.93,-7.56,-2.72,-7.5,3.18,-2.53,-6.37,4.7,-2.47,-3.64,5.25,"https://www.pro-football-reference.com/boxscores/202409080clt.htm"
2024,"2024-09-08","VkxV91RtzHn65","New England","Patriots","NE",6,0.36,-1.95,2.59,0,3.62,7.91,-4.29,3.1,2.22,-4.09,2.82,8.42,-4.79,-0.14,"https://www.pro-football-reference.com/boxscores/202409080cin.htm"
2024,"2024-09-08","jJBGuksuDJF5L","Carolina","Panthers","CAR",-37,-17.04,-13.83,-4.41,-7.73,-19.08,-14.23,-7.83,0,0.61,-1.87,7.17,2.05,0.44,-7.18,"https://www.pro-football-reference.com/boxscores/202409080nor.htm"
2024,"2024-09-08","ltMyRE3yvVUaw","Tennessee","Titans","TEN",-6,-15.2,-17.84,2.79,-13.51,12.59,9.91,2,0,-2.68,-1.15,4.17,-2.64,-0.77,-2.29,"https://www.pro-football-reference.com/boxscores/202409080chi.htm"
2024,"2024-09-08","mLspw4gJNTQGN","Atlanta","Falcons","ATL",-8,-13.7,-9.02,-5.61,-15.55,6.25,2.44,3.13,0,-2.05,-2.82,5.51,2.26,-0.51,-6.49,"https://www.pro-football-reference.com/boxscores/202409080atl.htm"
2024,"2024-09-08","mfbu6O5aMHbJg","Miami","Dolphins","MIA",3,5.83,11.41,-4.05,0,4.76,-6.23,8.58,4.99,-7.59,-2.84,1.83,3.39,-6.57,-3.4,"https://www.pro-football-reference.com/boxscores/202409080mia.htm"
2024,"2024-09-08","n8CuHV9wbYCqF","New York","Giants","NYG",-22,-21.12,-19.35,0.23,-9.92,-8.23,-9.85,1.4,5.58,7.83,-3.15,4.57,6.59,-1.85,1.67,"https://www.pro-football-reference.com/boxscores/202409080nyg.htm"
2024,"2024-09-08","u98I1lDKQBwZ0","Los Angeles","Rams","LAR",-6,8.78,11.88,-1.63,-4.85,-9.52,2.7,-13.57,3.45,-3.9,-5.64,4.17,1.51,-4.59,0.65,"https://www.pro-football-reference.com/boxscores/202409080det.htm"
2024,"2024-09-09","IwSI92ZDKoazn","San Francisco","49ers","SF",15,11.24,8.35,4.21,0,2.83,-2.14,0.97,8.31,0.93,-7.6,3.1,1.45,-2.91,6.89,"https://www.pro-football-reference.com/boxscores/202409090sfo.htm"
2024,"2024-09-09","mexvMWO2v1hWn","New York","Jets","NYJ",-15,-2.83,2.14,-0.97,-8.31,-11.24,-8.35,-4.21,0,-0.93,-3.1,7.6,2.91,-1.45,-6.89,"https://www.pro-football-reference.com/boxscores/202409090sfo.htm"
2024,"2024-09-12","3VqeLK0LS9rpw","Buffalo","Bills","BUF",21,8.59,11.37,-2.1,0,14.11,9.1,2.89,13.78,-2.53,-5.64,3.02,2.11,-1.13,-0.89,"https://www.pro-football-reference.com/boxscores/202409120mia.htm"
2024,"2024-09-12","mfbu6O5aMHbJg","Miami","Dolphins","MIA",-21,-14.11,-9.1,-2.89,-13.78,-8.59,-11.37,2.1,0,2.53,-3.02,5.64,1.13,-2.11,0.89,"https://www.pro-football-reference.com/boxscores/202409120mia.htm"
2024,"2024-09-15","1vVmWGzUZ1rea","Chicago","Bears","CHI",-6,-13.71,-11.19,0.52,-2.8,7.01,-6.8,12.19,5.9,-0.27,-4.15,5.51,5.06,-4.2,-2.49,"https://www.pro-football-reference.com/boxscores/202409150htx.htm"
2024,"2024-09-15","22ZdibiqvfA2D","Cincinnati","Bengals","CIN",0,0.29,3.13,-0.45,-6.97,-0.08,2.68,-4.76,8.85,-0.99,-6.58,4.43,1.2,-1.95,1.91,"https://www.pro-football-reference.com/boxscores/202409150kan.htm"
