"season","event_date","tm_nano","tm_market","tm_name","tm_alias","opp_nano","opp_market","opp_name","opp_alias","tm_spread","opp_spread","total","attendance","duration","roof_type","surface_type","won_toss","won_toss_decision","won_toss_overtime","won_toss_overtime_decision","temperature","humidity_pct","wind_speed","boxscore_stats_link"
2024,"2024-09-05","oiGiwWPf0UqMC","Kansas City","Chiefs","KC","zyhFXj1nywrm1","Baltimore","Ravens","BAL",-3,3,47,73611,190,"Outdoors","Grass","KC","Deferred",,,67,53,8,"https://www.pro-football-reference.com/boxscores/202409050kan.htm"
2024,"2024-09-06","hjjmgzxilGWdr","Philadelphia","Eagles","PHI","D5QY6bOxfn8ZL","Green Bay","Packers","GB",-2,2,49.5,47236,209,,,"GB","Accepted",,,,,,"https://www.pro-football-reference.com/boxscores/202409060phi.htm"
2024,"2024-09-08","mLspw4gJNTQGN","Atlanta","Falcons","ATL","SlVgURDFI7EXX","Pittsburgh","Steelers","PIT",-3.5,3.5,42,72291,176,"Retractable roof (closed)","Fieldturf","ATL","Accepted",,,,,,"https://www.pro-football-reference.com/boxscores/202409080atl.htm"
2024,"2024-09-08","3VqeLK0LS9rpw","Buffalo","Bills","BUF","GJizlkzQFaqGA","Arizona","Cardinals","ARI",-6.5,6.5,46.5,70542,179,"Outdoors","A_turf","ARI","Accepted",,,61,55,20,"https://www.pro-football-reference.com/boxscores/202409080buf.htm"
2024,"2024-09-08","1vVmWGzUZ1rea","Chicago","Bears","CHI","ltMyRE3yvVUaw","Tennessee","Titans","TEN",-3.5,3.5,44.5,59403,180,"Outdoors","Grass","CHI","Deferred",,,67,43,8,"https://www.pro-football-reference.com/boxscores/202409080chi.htm"
2024,"2024-09-08","22ZdibiqvfA2D","Cincinnati","Bengals","CIN","VkxV91RtzHn65","New England","Patriots","NE",-7.5,7.5,41,66214,169,"Outdoors","Fieldturf","NE","Deferred",,,66,40,5,"https://www.pro-football-reference.com/boxscores/202409080cin.htm"
2024,"2024-09-08","IR4gIYmh269EI","Cleveland","Browns","CLE","KdjU81i7YSFE7","Dallas","Cowboys","DAL",-2.5,2.5,41,67431,199,"Outdoors","Grass","CLE","Deferred",,,68,41,15,"https://www.pro-football-reference.com/boxscores/202409080cle.htm"
2024,"2024-09-08","LJmHetie5VbbO","Indianapolis","Colts","IND","UI0Ax4HUEXFh6","Houston","Texans","HOU",2.5,-2.5,48.5,65306,182,"Retractable roof (open)","Fieldturf","IND","Accepted",,,,,,"https://www.pro-football-reference.com/boxscores/202409080clt.htm"
2024,"2024-09-08","FCuH1wdksA2DQ","Detroit","Lions","DET","u98I1lDKQBwZ0","Los Angeles","Rams","LAR",-4.5,4.5,52.5,66530,194,"Dome","Fieldturf","DET","Deferred","DET","Accepted",,,,"https://www.pro-football-reference.com/boxscores/202409080det.htm"
2024,"2024-09-08","mfbu6O5aMHbJg","Miami","Dolphins","MIA","RtOjnciWkJPaL","Jacksonville","Jaguars","JAC",-3.5,3.5,49.5,65582,183,"Outdoors","Grass","JAC","Deferred",,,91,57,10,"https://www.pro-football-reference.com/boxscores/202409080mia.htm"
2024,"2024-09-08","CI5mhfNa0Zqd2","New Orleans","Saints","NO","jJBGuksuDJF5L","Carolina","Panthers","CAR",-4,4,41.5,70007,190,"Dome","Sportturf","CAR","Deferred",,,,,,"https://www.pro-football-reference.com/boxscores/202409080nor.htm"
